2016-11-23 01:57:42.812 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web.TimeoutsDispatcher] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-11-23 01:57:42.820 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web.Retries] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-11-23 01:57:42.836 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-11-23 01:57:42.844 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web-1] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-11-23 01:59:13.914 INFO  DefaultFactory Logging to 'D:\Dev\R&D\ruterapp\RuterApp.Web\App_Data\' with level Info
2016-11-23 01:59:14.082 INFO  NServiceBus.LicenseManager Trial for Particular Service Platform is still active, trial expires on 04.12.2016.
2016-11-23 01:59:14.180 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'DESKTOP-315EGBD\Ivan Milano' to group 'Performance Monitor Users' because the user is already in group.
2016-11-23 01:59:14.809 INFO  NServiceBus.Features.QueuePermissions Queue [private$\error] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-11-23 01:59:14.817 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-23 01:59:14.820 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-23 01:59:14.825 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-23 01:59:14.834 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web.Timeouts] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-11-23 01:59:14.844 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web.TimeoutsDispatcher] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-11-23 01:59:14.851 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web.Retries] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-11-23 01:59:14.858 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-11-23 01:59:14.875 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web-1] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-11-23 02:31:03.959 INFO  DefaultFactory Logging to 'D:\Dev\R&D\ruterapp\RuterApp.Web\App_Data\' with level Info
2016-11-23 02:31:04.083 INFO  NServiceBus.LicenseManager Trial for Particular Service Platform is still active, trial expires on 04.12.2016.
2016-11-23 02:31:04.149 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'DESKTOP-315EGBD\Ivan Milano' to group 'Performance Monitor Users' because the user is already in group.
2016-11-23 02:31:04.653 INFO  NServiceBus.Features.QueuePermissions Queue [private$\error] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-11-23 02:31:04.658 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-23 02:31:04.662 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-23 02:31:04.665 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-23 02:31:04.672 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web.Timeouts] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-11-23 02:31:04.688 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web.TimeoutsDispatcher] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-11-23 02:31:04.694 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web.Retries] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-11-23 02:31:04.700 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-11-23 02:31:04.718 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web-1] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-11-23 02:33:06.551 INFO  DefaultFactory Logging to 'D:\Dev\R&D\ruterapp\RuterApp.Web\App_Data\' with level Info
2016-11-23 02:33:06.692 INFO  NServiceBus.LicenseManager Trial for Particular Service Platform is still active, trial expires on 04.12.2016.
2016-11-23 02:33:06.774 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'DESKTOP-315EGBD\Ivan Milano' to group 'Performance Monitor Users' because the user is already in group.
2016-11-23 02:33:07.661 INFO  NServiceBus.Features.QueuePermissions Queue [private$\error] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-11-23 02:33:07.672 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-23 02:33:07.678 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-23 02:33:07.684 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-23 02:33:07.697 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web.Timeouts] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-11-23 02:33:07.707 INFO  NServiceBus.Features.QueuePermissions Queue [private$\RuterApp.Web.TimeoutsDispatcher] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
